category,question,answer,source
FL Studio Basics,FL Studio эхлэгчдэд: How to use FL Studio - Making music гэж юу вэ?,"'FL Studio эхлэгчдэд: How to use FL Studio - Making music' сэдэв нь хөгжмийн продакшн шинээр сурч байгаа хүнд анхны ойлголтоо цэгцлэхэд тусална. FL Studio дээр цонх, хэрэгсэл, дууны сувгууд хоорондоо хэрхэн холбогддогийг ойлгох нь дараагийн бүх дасгалын суурь болдог. Эхлээд нэр томьёог төгс цээжлэх гэж яарах хэрэггүй. Нэг жижиг зорилго сонгоод туршаарай: хоёр такт хэмнэл хийх, нэг аккорд тоглуулах, эсвэл дууны түвшинг бага зэрэг өөрчлөх гэх мэт. Дараа нь үр дүнг сонсож, юу өөрчлөгдсөнийг өөрийн үгээр тэмдэглэ. Ийм маягаар алхам бүрийг сонсголтой холбовол програмын товчлуур, хөгжмийн ойлголт хоёр бодит дуу болж нийлж байгааг амархан ойлгоно.",https://www.image-line.com/fl-studio-learning/fl-studio-online-manual/html/basics_workflow.htm
Mastering,Dynamic range too compressed losing emotional impact on acoustic piano in jazz mix,"Maximus-ийн band бүрийн ratio-г суллаж, 2-bus дээрх хэт лимитийг багасгаад оронд нь Fruity Waveshaper-ийг маш бага parallel mix дээр ашигла. Perceived loudness хадгалагдах ч macro dynamics дахин амь орж, эмоц дарагдахгүй, мөн Fruity Parametric EQ 2-оор 3.4 kHz орчмын low-mid бөөгнөрлийг бага зэрэг цэвэрлэ.",Local generated FL Studio troubleshooting dataset
Mastering,Dynamic range too compressed losing emotional impact on acoustic piano in ambient mix,"Maximus-ийн band бүрийн ratio-г суллаж, 2-bus дээрх хэт лимитийг багасгаад оронд нь Fruity Waveshaper-ийг маш бага parallel mix дээр ашигла. Perceived loudness хадгалагдах ч macro dynamics дахин амь орж, эмоц дарагдахгүй, мөн Maximus output gain-ийг 2.4 dB алхмаар л өсгө, мөн ceiling-т хүрэхээс өмнө Soft Clipper-ийн input-ийг бага зэрэг буцаа, мөн Wave Candy дээр crest gap-ийг ойролцоогоор 2.2 dB түвшинд ажигла.",Local generated FL Studio troubleshooting dataset
Mastering,Dynamic range too compressed losing emotional impact on acoustic piano in folk mix,"Maximus-ийн band бүрийн ratio-г суллаж, 2-bus дээрх хэт лимитийг багасгаад оронд нь Fruity Waveshaper-ийг маш бага parallel mix дээр ашигла. Perceived loudness хадгалагдах ч macro dynamics дахин амь орж, эмоц дарагдахгүй, мөн ceiling-т хүрэхээс өмнө Soft Clipper-ийн input-ийг бага зэрэг буцаа, мөн Wave Candy дээр crest gap-ийг ойролцоогоор 2.2 dB түвшинд ажигла.",Local generated FL Studio troubleshooting dataset
Mastering,Dynamic range too compressed losing emotional impact on acoustic piano in dubstep mix,"Maximus-ийн band бүрийн ratio-г суллаж, 2-bus дээрх хэт лимитийг багасгаад оронд нь Fruity Waveshaper-ийг маш бага parallel mix дээр ашигла. Perceived loudness хадгалагдах ч macro dynamics дахин амь орж, эмоц дарагдахгүй, мөн Fruity Parametric EQ 2-оор 5 kHz орчмын low-mid бөөгнөрлийг бага зэрэг цэвэрлэ.",Local generated FL Studio troubleshooting dataset
Mastering,Dynamic range too compressed losing emotional impact on acoustic piano in hip-hop mix,"Maximus-ийн band бүрийн ratio-г суллаж, 2-bus дээрх хэт лимитийг багасгаад оронд нь Fruity Waveshaper-ийг маш бага parallel mix дээр ашигла. Perceived loudness хадгалагдах ч macro dynamics дахин амь орж, эмоц дарагдахгүй, мөн Maximus output gain-ийг 1.5 dB алхмаар л өсгө, мөн Maximus output gain-ийг 0.8 dB алхмаар л өсгө.",Local generated FL Studio troubleshooting dataset
Mastering,Dynamic range too compressed losing emotional impact on acoustic piano in metal mix,"Maximus-ийн band бүрийн ratio-г суллаж, 2-bus дээрх хэт лимитийг багасгаад оронд нь Fruity Waveshaper-ийг маш бага parallel mix дээр ашигла. Perceived loudness хадгалагдах ч macro dynamics дахин амь орж, эмоц дарагдахгүй, мөн ceiling-т хүрэхээс өмнө Soft Clipper-ийн input-ийг бага зэрэг буцаа, мөн Maximus output gain-ийг 1 dB алхмаар л өсгө.",Local generated FL Studio troubleshooting dataset
Mastering,Dynamic range too compressed losing emotional impact on acoustic piano in pop mix,"Maximus-ийн band бүрийн ratio-г суллаж, 2-bus дээрх хэт лимитийг багасгаад оронд нь Fruity Waveshaper-ийг маш бага parallel mix дээр ашигла. Perceived loudness хадгалагдах ч macro dynamics дахин амь орж, эмоц дарагдахгүй, мөн Wave Candy дээр crest gap-ийг ойролцоогоор 2.1 dB түвшинд ажигла, мөн Fruity Parametric EQ 2-оор 4 kHz орчмын low-mid бөөгнөрлийг бага зэрэг цэвэрлэ.",Local generated FL Studio troubleshooting dataset
Mastering,Dynamic range too compressed losing emotional impact on acoustic piano in classical mix,"Maximus-ийн band бүрийн ratio-г суллаж, 2-bus дээрх хэт лимитийг багасгаад оронд нь Fruity Waveshaper-ийг маш бага parallel mix дээр ашигла. Perceived loudness хадгалагдах ч macro dynamics дахин амь орж, эмоц дарагдахгүй, мөн ceiling-т хүрэхээс өмнө Soft Clipper-ийн input-ийг бага зэрэг буцаа, мөн Fruity Parametric EQ 2-оор 4.2 kHz орчмын low-mid бөөгнөрлийг бага зэрэг цэвэрлэ.",Local generated FL Studio troubleshooting dataset
Mastering,Dynamic range too compressed losing emotional impact on acoustic piano in rock mix,"Maximus-ийн band бүрийн ratio-г суллаж, 2-bus дээрх хэт лимитийг багасгаад оронд нь Fruity Waveshaper-ийг маш бага parallel mix дээр ашигла. Perceived loudness хадгалагдах ч macro dynamics дахин амь орж, эмоц дарагдахгүй, мөн ceiling-т хүрэхээс өмнө Soft Clipper-ийн input-ийг бага зэрэг буцаа, мөн Fruity Parametric EQ 2-оор 3.2 kHz орчмын low-mid бөөгнөрлийг бага зэрэг цэвэрлэ.",Local generated FL Studio troubleshooting dataset
